publisher|series|size|comic book|issue number|release date|number of pages|price|main character|cover type
marvel|wolverine: weapon x|3|sabretooth's revenge|3|2023-03-15|32|$3.99|wolverine|softcover
marvel|doctor strange: mystic arts|3|sorcerer supreme's apprentice|1|2023-01-10|28|$2.99|doctor strange|softcover
marvel|doctor strange: mystic arts|3|the multiverse menace|2|2023-02-10|28|$2.99|doctor strange|softcover
marvel|doctor strange: mystic arts|3|dark dimensions unleashed|3|2023-03-10|28|$2.99|doctor strange|softcover
marvel|ms. marvel: kamala's journey|3|inhuman inception|1|2023-01-20|30|$4.50|ms. marvel|softcover
marvel|ms. marvel: kamala's journey|3|embiggened adventures|2|2023-02-20|30|$4.50|ms. marvel|softcover
marvel|ms. marvel: kamala's journey|3|binary transformation|3|2023-03-20|30|$4.50|ms. marvel|softcover
dc comics|batman: the dark knight|3|the caped crusader returns|1|2023-01-10|32|$3.99|batman|softcover
dc comics|batman: the dark knight|3|joker's last laugh|2|2023-02-10|32|$3.99|batman|softcover
dc comics|batman: the dark knight|3|bane's reign of terror|3|2023-03-10|32|$3.99|batman|softcover
dc comics|superman: man of steel|3|krypton's last hope|1|2023-01-15|28|$2.99|superman|softcover
dc comics|superman: man of steel|3|lex luthor's machinations|2|2023-02-15|28|$2.99|superman|softcover
dc comics|superman: man of steel|3|doomsday's rampage|3|2023-03-15|28|$2.99|superman|softcover
dc comics|wonder woman: princess of themyscira|3|the amazonian warrior|1|2023-01-20|30|$4.50|wonder woman|softcover
dc comics|wonder woman: princess of themyscira|3|ares' wrath|2|2023-02-20|30|$4.50|wonder woman|softcover
dc comics|wonder woman: princess of themyscira|3|cheetah's revenge|3|2023-03-20|30|$4.50|wonder woman|softcover
dc comics|the flash: speed force|3|barry allen's return|1|2023-01-05|32|$3.99|the flash|softcover
dc comics|the flash: speed force|3|reverse flash's scheme|2|2023-02-05|32|$3.99|the flash|softcover
dc comics|the flash: speed force|3|speedster showdown|3|2023-03-05|32|$3.99|the flash|softcover
dc comics|aquaman: king of atlantis|3|ocean's guardian|1|2023-01-25|28|$2.99|aquaman|softcover
dc comics|aquaman: king of atlantis|3|black manta's revenge|2|2023-02-25|28|$2.99|aquaman|softcover
dc comics|aquaman: king of atlantis|3|the trench menace|3|2023-03-25|28|$2.99|aquaman|softcover
dc comics|green lantern: emerald corps|3|hal jordan's return|1|2023-01-12|32|$3.99|green lantern|softcover
dc comics|green lantern: emerald corps|3|sinestro's rebellion|2|2023-02-12|32|$3.99|green lantern|softcover
dc comics|green lantern: emerald corps|3|star sapphire's love|3|2023-03-12|32|$3.99|green lantern|softcover
dc comics|batgirl: gotham's guardian|3|barbara gordon's journey|1|2023-01-18|30|$4.25|batgirl|softcover
dc comics|batgirl: gotham's guardian|3|the joker's daughter|2|2023-02-18|30|$4.25|batgirl|softcover
dc comics|batgirl: gotham's guardian|3|penguin's plot|3|2023-03-18|30|$4.25|batgirl|softcover
dc comics|green arrow: the emerald archer|3|oliver queen's redemption|1|2023-01-30|28|$3.50|green arrow|softcover
dc comics|green arrow: the emerald archer|3|deathstroke's duel|2|2023-02-28|28|$3.50|green arrow|softcover
dc comics|green arrow: the emerald archer|3|the league of shadows|3|2023-03-30|28|$3.50|green arrow|softcover
dc comics|teen titans: titans together|3|robin's leadership|1|2023-01-24|32|$3.75|teen titans|softcover
dc comics|teen titans: titans together|3|beast boy's transformation|2|2023-02-24|32|$3.75|teen titans|softcover
dc comics|teen titans: titans together|3|raven's dark past|3|2023-03-24|32|$3.75|teen titans|softcover
dark horse comics|hellboy: seed of destruction|3|the right hand of doom|1|2023-01-15|32|$3.99|hellboy|softcover
dark horse comics|hellboy: seed of destruction|3|wake the devil|2|2023-02-15|32|$3.99|hellboy|softcover
dark horse comics|hellboy: seed of destruction|3|the chained coffin|3|2023-03-15|32|$3.99|hellboy|softcover
dark horse comics|b.p.r.d.: plague of frogs|3|rise of the frogs|1|2023-01-10|28|$2.99|b.p.r.d. agents|softcover
dark horse comics|b.p.r.d.: plague of frogs|3|the black flame rises|2|2023-02-10|28|$2.99|b.p.r.d. agents|softcover
dark horse comics|b.p.r.d.: plague of frogs|3|the war on frogs|3|2023-03-10|28|$2.99|b.p.r.d. agents|softcover
dark horse comics|sin city|3|the hard goodbye|1|2023-01-20|30|$4.50|marv|softcover
dark horse comics|sin city|3|a dame to kill for|2|2023-02-20|30|$4.50|dwight mccarthy|softcover
dark horse comics|sin city|3|the big fat kill|3|2023-03-20|30|$4.50|dwight mccarthy|softcover
dark horse comics|usagi yojimbo|3|the ronin|1|2023-01-05|32|$3.99|usagi yojimbo|softcover
dark horse comics|usagi yojimbo|3|samurai adventure|2|2023-02-05|32|$3.99|usagi yojimbo|softcover
dark horse comics|usagi yojimbo|3|bounty hunter's quest|3|2023-03-05|32|$3.99|usagi yojimbo|softcover
dark horse comics|the goon|3|nothin' but misery|1|2023-01-25|28|$2.99|the goon|softcover
dark horse comics|the goon|3|chinatown|2|2023-02-25|28|$2.99|the goon|softcover
dark horse comics|the goon|3|once upon a hard time|3|2023-03-25|28|$2.99|the goon|softcover
dark horse comics|black hammer|3|secret origins|1|2023-01-12|32|$3.99|black hammer|softcover
dark horse comics|black hammer|3|age of doom|2|2023-02-12|32|$3.99|black hammer|softcover
dark horse comics|black hammer|3|streets of spiral|3|2023-03-12|32|$3.99|black hammer|softcover
image comics|spawn|3|the al simmons saga|1|2023-01-18|30|$4.25|spawn|softcover
image comics|spawn|3|hellspawn redemption|2|2023-02-18|30|$4.25|spawn|softcover
image comics|spawn|3|angelic warfare|3|2023-03-18|30|$4.25|spawn|softcover
image comics|the walking dead|3|days gone by|1|2023-01-30|28|$3.50|rick grimes|softcover
image comics|the walking dead|3|made to suffer|2|2023-02-28|28|$3.50|rick grimes|softcover
image comics|the walking dead|3|whispers into screams|3|2023-03-30|28|$3.50|rick grimes|softcover
image comics|invincible|3|family matters|1|2023-01-24|32|$3.75|invincible|softcover
image comics|invincible|3|viltrumite war|2|2023-02-24|32|$3.75|invincible|softcover
image comics|invincible|3|the end of all things|3|2023-03-24|32|$3.75|invincible|softcover
image comics|saga|3|volume 1|1|2023-01-28|28|$3.25|alana|softcover
image comics|saga|3|the war for phang|2|2023-02-28|28|$3.25|alana|softcover
image comics|saga|3|the last revolution|3|2023-03-28|28|$3.25|alana|softcover
image comics|monstress|3|awakening|1|2023-01-22|30|$4.00|maika halfwolf|softcover
image comics|monstress|3|the blood|2|2023-02-22|30|$4.00|maika halfwolf|softcover
image comics|monstress|3|haven|3|2023-03-22|30|$4.00|maika halfwolf|softcover
