Publisher|Series|Size|Comic Book|Issue Number|Release Date|Number of Pages|Price|Main Character|Cover Type
Marvel|Daredevil: The Man Without Fear|3|Kingpin's Last Stand|3|2023-03-28|28|$3.25|Daredevil|Softcover
Marvel|Fantastic Four: Future Foundation|3|Reed Richards' Inventions|1|2023-01-22|30|$4.00|Fantastic Four|Softcover
Marvel|Fantastic Four: Future Foundation|3|Invisible Woman's Secret|2|2023-02-22|30|$4.00|Fantastic Four|Softcover
Marvel|Fantastic Four: Future Foundation|3|The Thing's Battle Cry|3|2023-03-22|30|$4.00|Fantastic Four|Softcover
Marvel|Wolverine: Weapon X|3|Logan's Origins|1|2023-01-15|32|$3.99|Wolverine|Softcover
Marvel|Wolverine: Weapon X|3|X-23's Quest|2|2023-02-15|32|$3.99|Wolverine|Softcover
Marvel|Wolverine: Weapon X|3|Sabretooth's Revenge|3|2023-03-15|32|$3.99|Wolverine|Softcover
Marvel|Doctor Strange: Mystic Arts|3|Sorcerer Supreme's Apprentice|1|2023-01-10|28|$2.99|Doctor Strange|Softcover
Marvel|Doctor Strange: Mystic Arts|3|The Multiverse Menace|2|2023-02-10|28|$2.99|Doctor Strange|Softcover
Marvel|Doctor Strange: Mystic Arts|3|Dark Dimensions Unleashed|3|2023-03-10|28|$2.99|Doctor Strange|Softcover
Marvel|Ms. Marvel: Kamala's Journey|3|Inhuman Inception|1|2023-01-20|30|$4.50|Ms. Marvel|Softcover
Marvel|Ms. Marvel: Kamala's Journey|3|Embiggened Adventures|2|2023-02-20|30|$4.50|Ms. Marvel|Softcover
Marvel|Ms. Marvel: Kamala's Journey|3|Binary Transformation|3|2023-03-20|30|$4.50|Ms. Marvel|Softcover
DC Comics|Batman: The Dark Knight|3|The Caped Crusader Returns|1|2023-01-10|32|$3.99|Batman|Softcover
DC Comics|Batman: The Dark Knight|3|Joker's Last Laugh|2|2023-02-10|32|$3.99|Batman|Softcover
DC Comics|Batman: The Dark Knight|3|Bane's Reign of Terror|3|2023-03-10|32|$3.99|Batman|Softcover
DC Comics|Superman: Man of Steel|3|Krypton's Last Hope|1|2023-01-15|28|$2.99|Superman|Softcover
DC Comics|Superman: Man of Steel|3|Lex Luthor's Machinations|2|2023-02-15|28|$2.99|Superman|Softcover
DC Comics|Superman: Man of Steel|3|Doomsday's Rampage|3|2023-03-15|28|$2.99|Superman|Softcover
DC Comics|Wonder Woman: Princess of Themyscira|3|The Amazonian Warrior|1|2023-01-20|30|$4.50|Wonder Woman|Softcover
DC Comics|Wonder Woman: Princess of Themyscira|3|Ares' Wrath|2|2023-02-20|30|$4.50|Wonder Woman|Softcover
DC Comics|Wonder Woman: Princess of Themyscira|3|Cheetah's Revenge|3|2023-03-20|30|$4.50|Wonder Woman|Softcover
DC Comics|The Flash: Speed Force|3|Barry Allen's Return|1|2023-01-05|32|$3.99|The Flash|Softcover
DC Comics|The Flash: Speed Force|3|Reverse Flash's Scheme|2|2023-02-05|32|$3.99|The Flash|Softcover
DC Comics|The Flash: Speed Force|3|Speedster Showdown|3|2023-03-05|32|$3.99|The Flash|Softcover
DC Comics|Aquaman: King of Atlantis|3|Ocean's Guardian|1|2023-01-25|28|$2.99|Aquaman|Softcover
DC Comics|Aquaman: King of Atlantis|3|Black Manta's Revenge|2|2023-02-25|28|$2.99|Aquaman|Softcover
DC Comics|Aquaman: King of Atlantis|3|The Trench Menace|3|2023-03-25|28|$2.99|Aquaman|Softcover
DC Comics|Green Lantern: Emerald Corps|3|Hal Jordan's Return|1|2023-01-12|32|$3.99|Green Lantern|Softcover
DC Comics|Green Lantern: Emerald Corps|3|Sinestro's Rebellion|2|2023-02-12|32|$3.99|Green Lantern|Softcover
DC Comics|Green Lantern: Emerald Corps|3|Star Sapphire's Love|3|2023-03-12|32|$3.99|Green Lantern|Softcover
DC Comics|Batgirl: Gotham's Guardian|3|Barbara Gordon's Journey|1|2023-01-18|30|$4.25|Batgirl|Softcover
DC Comics|Batgirl: Gotham's Guardian|3|The Joker's Daughter|2|2023-02-18|30|$4.25|Batgirl|Softcover
DC Comics|Batgirl: Gotham's Guardian|3|Penguin's Plot|3|2023-03-18|30|$4.25|Batgirl|Softcover
DC Comics|Green Arrow: The Emerald Archer|3|Oliver Queen's Redemption|1|2023-01-30|28|$3.50|Green Arrow|Softcover
DC Comics|Green Arrow: The Emerald Archer|3|Deathstroke's Duel|2|2023-02-28|28|$3.50|Green Arrow|Softcover
DC Comics|Green Arrow: The Emerald Archer|3|The League of Shadows|3|2023-03-30|28|$3.50|Green Arrow|Softcover
DC Comics|Teen Titans: Titans Together|3|Robin's Leadership|1|2023-01-24|32|$3.75|Teen Titans|Softcover
DC Comics|Teen Titans: Titans Together|3|Beast Boy's Transformation|2|2023-02-24|32|$3.75|Teen Titans|Softcover
DC Comics|Teen Titans: Titans Together|3|Raven's Dark Past|3|2023-03-24|32|$3.75|Teen Titans|Softcover
Dark Horse Comics|Hellboy: Seed of Destruction|3|The Right Hand of Doom|1|2023-01-15|32|$3.99|Hellboy|Softcover
Dark Horse Comics|Hellboy: Seed of Destruction|3|Wake the Devil|2|2023-02-15|32|$3.99|Hellboy|Softcover
Dark Horse Comics|Hellboy: Seed of Destruction|3|The Chained Coffin|3|2023-03-15|32|$3.99|Hellboy|Softcover
Dark Horse Comics|B.P.R.D.: Plague of Frogs|3|Rise of the Frogs|1|2023-01-10|28|$2.99|B.P.R.D. Agents|Softcover
Dark Horse Comics|B.P.R.D.: Plague of Frogs|3|The Black Flame Rises|2|2023-02-10|28|$2.99|B.P.R.D. Agents|Softcover
Dark Horse Comics|B.P.R.D.: Plague of Frogs|3|The War on Frogs|3|2023-03-10|28|$2.99|B.P.R.D. Agents|Softcover
Dark Horse Comics|Sin City|3|The Hard Goodbye|1|2023-01-20|30|$4.50|Marv|Softcover
Dark Horse Comics|Sin City|3|A Dame to Kill For|2|2023-02-20|30|$4.50|Dwight McCarthy|Softcover
Dark Horse Comics|Sin City|3|The Big Fat Kill|3|2023-03-20|30|$4.50|Dwight McCarthy|Softcover
Dark Horse Comics|Usagi Yojimbo|3|The Ronin|1|2023-01-05|32|$3.99|Usagi Yojimbo|Softcover
Dark Horse Comics|Usagi Yojimbo|3|Samurai Adventure|2|2023-02-05|32|$3.99|Usagi Yojimbo|Softcover
Dark Horse Comics|Usagi Yojimbo|3|Bounty Hunter's Quest|3|2023-03-05|32|$3.99|Usagi Yojimbo|Softcover
Dark Horse Comics|The Goon|3|Nothin' But Misery|1|2023-01-25|28|$2.99|The Goon|Softcover
Dark Horse Comics|The Goon|3|Chinatown|2|2023-02-25|28|$2.99|The Goon|Softcover
Dark Horse Comics|The Goon|3|Once Upon a Hard Time|3|2023-03-25|28|$2.99|The Goon|Softcover
Dark Horse Comics|Black Hammer|3|Secret Origins|1|2023-01-12|32|$3.99|Black Hammer|Softcover
Dark Horse Comics|Black Hammer|3|Age of Doom|2|2023-02-12|32|$3.99|Black Hammer|Softcover
Dark Horse Comics|Black Hammer|3|Streets of Spiral|3|2023-03-12|32|$3.99|Black Hammer|Softcover
Image Comics|Spawn|3|The Al Simmons Saga|1|2023-01-18|30|$4.25|Spawn|Softcover
Image Comics|Spawn|3|Hellspawn Redemption|2|2023-02-18|30|$4.25|Spawn|Softcover
Image Comics|Spawn|3|Angelic Warfare|3|2023-03-18|30|$4.25|Spawn|Softcover
Image Comics|The Walking Dead|3|Days Gone By|1|2023-01-30|28|$3.50|Rick Grimes|Softcover
Image Comics|The Walking Dead|3|Made to Suffer|2|2023-02-28|28|$3.50|Rick Grimes|Softcover
Image Comics|The Walking Dead|3|Whispers Into Screams|3|2023-03-30|28|$3.50|Rick Grimes|Softcover
Image Comics|Invincible|3|Family Matters|1|2023-01-24|32|$3.75|Invincible|Softcover
Image Comics|Invincible|3|Viltrumite War|2|2023-02-24|32|$3.75|Invincible|Softcover
Image Comics|Invincible|3|The End of All Things|3|2023-03-24|32|$3.75|Invincible|Softcover
Image Comics|Saga|3|Volume 1|1|2023-01-28|28|$3.25|Alana|Softcover
Image Comics|Saga|3|The War for Phang|2|2023-02-28|28|$3.25|Alana|Softcover
Image Comics|Saga|3|The Last Revolution|3|2023-03-28|28|$3.25|Alana|Softcover
Image Comics|Monstress|3|Awakening|1|2023-01-22|30|$4.00|Maika Halfwolf|Softcover
Image Comics|Monstress|3|The Blood|2|2023-02-22|30|$4.00|Maika Halfwolf|Softcover
Image Comics|Monstress|3|Haven|3|2023-03-22|30|$4.00|Maika Halfwolf|Softcover
